"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2553","@camanpour @LConeCNN @RickABright #Corona , #coronavirus pandemic is a life a sponge in the sea .....which just sti… https://t.co/BdfBu3F1jD",FALSE,0,"camanpour",2020-10-19 18:51:28,TRUE,"1318253520022343681","1318263514184679426","69181624","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HassanA23937054",0,FALSE,FALSE,NA,NA
"2554","@narendramodi @gatesfoundation Ha ha ha ha ha. Plastic surgery example of #LordGanesh ,#CloudTechnolgy, #GutterGas… https://t.co/yVFUvD7irv",FALSE,0,"narendramodi",2020-10-19 18:49:55,TRUE,"1318235025494568960","1318263123879424000","18839785","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","shamunder31s",0,FALSE,FALSE,NA,NA
"2555","#ModiCoronaMeter Today Narendra Modi taking Country one yr back in 3.0 days!#COVID19 #coronavirus #Corona",FALSE,0,NA,2020-10-19 18:44:58,FALSE,NA,"1318261878481580035",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","umakantsingh_IN",0,FALSE,FALSE,NA,NA
"2556","RT @kamaalrkhan: This #Corona is teaching to the world that matches of cricket and Football can be played without public in the stadium. Fi…",FALSE,0,NA,2020-10-19 18:41:48,FALSE,NA,"1318261079772778497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VikasKurmi18",110,TRUE,FALSE,NA,NA
"2557","#coronavirus
#Corona
#COVID19
#Covid_19

By February, 50% of Indians may have had coronavirus: Government panel est… https://t.co/iY3VEQYEmE",FALSE,1,NA,2020-10-19 18:39:14,TRUE,NA,"1318260437083770880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gautamakshita",2,FALSE,FALSE,NA,NA
"2558","RT @DrPalakVermaINC: It’s important to keep yourself and others secured from #Corona .

Glimpses from Today’s mask distribution in Delhi.…",FALSE,0,NA,2020-10-19 18:37:38,FALSE,NA,"1318260033067438080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gagansengar1",27,TRUE,FALSE,NA,NA
"2559","Russia being the first country to release the vaccine for Covid-19 the Sputnik V.

A person after getting a shot of… https://t.co/r8Ha6Fb5kZ",FALSE,1,NA,2020-10-19 18:36:22,TRUE,NA,"1318259714979893248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AkashJp12",0,FALSE,FALSE,NA,NA
"2560","@VPremShanker I wish #Corona would have seen his anger virus would have run away back.<U+0001F600>   Deeply hurt man by nonsense of people.",FALSE,2,"VPremShanker",2020-10-19 18:32:07,FALSE,"1318168143370448897","1318258643079360512","1102082057654554625","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sdsharmapune",0,FALSE,FALSE,NA,NA
"2561","RT @Bloodpointorg: #Mumbai #SOS #COVID19India
Need Any #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Sanjeevani Hospital
C…",FALSE,0,NA,2020-10-19 18:28:42,FALSE,NA,"1318257782580154369",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vikrant00497744",5,TRUE,FALSE,NA,NA
"2562","RT @Bloodpointorg: #Mumbai #SOS #COVID19India
Need #O+ve Blood #plasma from #covidrecovery  patient
Illness #Corona
At Sanjeevani Hospital,…",FALSE,0,NA,2020-10-19 18:28:14,FALSE,NA,"1318257665353510912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vikrant00497744",9,TRUE,FALSE,NA,NA
"2563","RT @Bloodpointorg: #Mumbai  #SOS #COVID19India
Need A+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At trauma hospital , #…",FALSE,0,NA,2020-10-19 18:28:03,FALSE,NA,"1318257621434912768",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vikrant00497744",5,TRUE,FALSE,NA,NA
"2564","RT @sttalkindia: Some consider calling #coronavirus #Corona as #ChineseVirus or #WuhanVirus, Racist.

Committing crime is no big deal but s…",FALSE,0,NA,2020-10-19 18:21:42,FALSE,NA,"1318256021995802624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IndiaTrendDaily",1,TRUE,FALSE,NA,NA
"2565","Our prayers for your quick recovery from #coronavirus . There seems to be a second wave of #Corona across the world… https://t.co/zUIVCLb9r3",FALSE,18,NA,2020-10-19 18:21:21,TRUE,NA,"1318255935899488262",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeamSarwar",3,FALSE,FALSE,NA,NA
"2566","#FICoronaUpdates Live Updates of Coronavirus
(Date: 19 October 2020, Time: 10:00 PM)

#Coronavirus #CoronaUpdate… https://t.co/7CKK8btJPn",FALSE,0,NA,2020-10-19 18:20:34,TRUE,NA,"1318255737940840448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thefirstindia",0,FALSE,FALSE,NA,NA
"2567","RT @AAPExpress: 19 Oct

#DelhiFightsCorona 

<U+0001F539> 2,154 NEW #Corona cases 
TOTAL- 3,33,171 cases

<U+0001F539> 2845 Recovered today,
TOTAL Recovered- 3,0…",FALSE,0,NA,2020-10-19 18:12:39,FALSE,NA,"1318253747202478080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ASHISHK43610486",6,TRUE,FALSE,NA,NA
"2568","RT @kamaalrkhan: One of the top construction company of UAE #Arabtec which built #BurjKhalifa is closed because of #coronavirus and 20 thou…",FALSE,0,NA,2020-10-19 18:11:54,FALSE,NA,"1318253557745741824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ManojSh26594247",45,TRUE,FALSE,NA,NA
"2569","RT @kamaalrkhan: Public came to know the reality of Canadian #Akki during this #Corona disaster time. Aur Jo Public Ko Abtak Jhoothi Deshbh…",FALSE,0,NA,2020-10-19 18:11:41,FALSE,NA,"1318253501126864897",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ManojSh26594247",128,TRUE,FALSE,NA,NA
"2570","RT @kamaalrkhan: This #Corona is teaching to the world that matches of cricket and Football can be played without public in the stadium. Fi…",FALSE,0,NA,2020-10-19 18:11:14,FALSE,NA,"1318253389369671680",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ManojSh26594247",110,TRUE,FALSE,NA,NA
